id	family	group	language	idiom	type	genlang_point	map	feature	value1	value1_name	value2	value2_name	source	page	comment	contributor	form	form_seg	form_gloss	russian_gloss	date
1	East  Caucasian	Lezgic	Agul	Central Agul	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	ramazanov2010	504	"Ramazanov notes that сабах1 is an ironic (""шутл.-ирон."") word."	Samira Verhees	сабахIх'айир	сабахI-х'айир	dawn-benefit	утро-благо	4.2021
2	East  Caucasian	Andic	Northern Akhvakh	Tad-Magitl'	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedovaabdulaeva2007	147		Samira Verhees	гьечIайичи	гьечI-айи=чи	get_up-pst=q	вставать-pst=q	4.2021
3	East  Caucasian	Andic	Lower Andi	Muni	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Patimat Nurmagomedova, p.c.		The infix is not really a class marker, but the remnants of one.	Samira Verhees	гьучIиде	гь<у>чI-и=де	get_up<m>-aor=q	вставать<m>-aor=q	4.2021
4	East  Caucasian	Andic	Upper Andi	Rikvani	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Chopan Gaziev, p.c.		"Answer: менгуло вуч1иде? (""А сам проснулся?""); в грамматике Сулейманова, глагол в/уч1и не встречается как ""проснуться, встать"", но Чопан его использовал в одной моей анкете, так что видимо существует как отдельный глагол в рикванинском."	Samira Verhees	вучIиде	в-учI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
5	East  Caucasian	Andic	Upper Andi	Zilo	village	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Aligadzhi Magomedov, p.c.		Вопросительная частица прошедшего времени в Зило будет =диле. Они как будто заимствовали приветствие из собственно андийского диалекта! Алигаджи прокомментировал, что вуч1ч1иде - приветствие, а вуч1ч1идиле, когда реально задается вопрос, проснулся ли человек! Ваааауууууу.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
6	East  Caucasian	Andic	Upper Andi	Andi	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	alisultanova2009	127	Verb means 'get up' rather than 'wake up'.	Samira Verhees	вучIчIиде	в-учIчI-и=де	m-get_up-aor=q	m-вставать-aor=q	4.2021
7	East  Caucasian	Lezgic	Archi	Archib	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Marina Chumakina, p.c.			Chiara Naccarato	nibk’i owc’ura?	nibk’i o<w>c’u=ra	sleep.erg ‹m.sg›fill(pfv)=q	сон.erg ‹m.sg›наполнять(pfv)=q	4.2021
8	Indo-European	Armenic	Eastern Armenian	Eastern Armenian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	omniglotGM			Chiara Naccarato	bari luys	bari luys	good light	добрый свет	4.2021
9	East  Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	gimbatov2006	332		Samira Verhees	ворчIами	в-орчI-ами	m-wake_up-pst.q	m-просыпаться-pst.q	4.2021
10	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	omniglotGM; Monika Rind-Pawlowski, p.c.	NA; NA		Samira Verhees	Sabahın xeyir / Sabahınız xeyir	Sabah-ın xeyir / Sabah-ınız xeyir	morning-2sg.pos benefit / morning-2pl.pos benefit	утро-2sg.pos благо / утро-2pl.pos благо	4.2021
11	East  Caucasian	Andic	Bagvalal	Khushtada	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedova2004	156		Samira Verhees	гьецIииваали	гьецIииваали	get_up.pst.cvb.q	вставать.pst.cvb.q	4.2021
12	East  Caucasian	Andic	Bagvalal	Khushtada	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	magomedova2004	122		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
13	East  Caucasian	Tsezic	Bezhta	Bezhta	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Zaira Xalilova, p.c.			Chiara Naccarato	aʁiʔjo(di)	ø-aʁiʔ-jo(=di)	m-get_up-pst(=q)	m-вставать-pst(=q)	4.2021
14	East  Caucasian	Tsezic	Bezhta	Bezhta	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilov2015	103		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
15	East  Caucasian	Andic	Botlikh	Botlikh	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	saidovaabusov2012	163		Samira Verhees	гьичIчIума	гьичIчI-у=ма	get_up-aor=q	вставать-aor=q	4.2021
16	East  Caucasian	Andic	Botlikh	Botlikh	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Magomed Abusov, p.c.			Samira Verhees	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
17	East  Caucasian	Lezgic	Budukh	Budukh	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	mejlanova1984	118		Samira Verhees	памаджар хер сахье!	памаджар хер сахье!	morning good may_be	утром добрый будь	4.2021
18	East  Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedova1999	133		Samira Verhees	гьесIсIее	гьесIсI-ее	get_up.pst=q	вставать.pst=q	4.2021
19	East  Caucasian	Andic	Chamalal	Lower Gakvari	dialect_toplevel	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	magomedova1999	110		Chiara Naccarato	ворчIами	ворчIами	good_morning	доброе_утро	4.2021
20	East  Caucasian	Nakh	Chechen	Standard Chechen	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	karasaevmaciev1978	135		Chiara Naccarato	Iуьйре дика хуьлда	Iуьйре дика хуьл<д>а	morning good become.opt<d>	утро добрый стать.opt<d>	4.2021
21	East  Caucasian	Dargwa	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Nina Sumbatova, p.c.			Samira Verhees	walhundiː	w-alh-un=diː	m-wake_up.pfv-pret=2sg.q	m-проснуться-pret=2sg.q	4.2021
22	East  Caucasian	Dargwa	Kajtag	Kajtag	language	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Uzlipat Gasanova, p.c.			Samira Verhees	гьиццурдив	hicː-ur=di=w	stand_up.m.pfv-pret=2sg=q	встать.m-pret=2sg=q	4.2021
23	East  Caucasian	Dargwa	Kajtag	Kajtag	language	no	no	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Uzlipat Gasanova, p.c.			Samira Verhees	walhundiw	w-alh-un=di=w	m-wake_up.pfv-pret=2sg=q	m-проснуться-pret=2sg=q	4.2021
58	East  Caucasian	Dargwa	Kubachi	Kubachi	language	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Nina Dobrushina, p.c.			Chiara Naccarato	далгьиттай	д-алгьи-тта=й	hpl-wake_up.pfv-pret.2pl=q	hpl-проснуться-pret.2pl=q	8.2024
24	East  Caucasian	Dargwa	Mehweb	Mehweb	language	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Michael Daniel, p.c.			Chiara Naccarato	валхIуннав	в-алхI-ун-на=в	m-wake_up.pfv-pst-ego=q	m-проснуться-pst-ego=q	4.2021
25	East  Caucasian	Dargwa	North-Central Dargwa	Muiri	dialect_nt1	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Uzlipat Gasanova, p.c.			Samira Verhees	walhatːiw	w-alha-tːi=w	m-wake_up.pfv-pret.2sg=q	m-проснуться-pret.2sg=q	4.2021
26	East  Caucasian	Dargwa	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	forker2020dargwa	552		Samira Verhees	walhundew	w-alh-un=de=w	m-wake_up.pfv-pret=2sg=q	m-проснуться-pret=2sg=q	4.2021
27	East  Caucasian	Dargwa	North-Central Dargwa	Standard Dargwa	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Uzlipat Gasanova, p.c.			Samira Verhees	велхIунрив	в-елхI-ун-ри=в	m-wake_up.pfv-pret-2sg=q	m-проснуться-pret-2sg=q	4.2021
28	East  Caucasian	Dargwa	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Yury Lander, p.c.			Samira Verhees	walʕundi	w-alʕ-un=di	m-wake_up.pfv-pret=2sg.q	m-проснуться-pret=2sg.q	4.2021
29	East  Caucasian	Dargwa	Tsudaqar	Tsudaqar	language	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Anonymous consultant, p.c.			Samira Verhees	гьайцурди	гьайц-ур=ди	get_up.pfv.m-pret=2sg.q	встать.m-pret=2sg.q	4.2021
30	Kartvelian	Georgic	Georgian	Standard Georgian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	hewitt2005	15		Chiara Naccarato	dila mšvidobisa(t)	dila mšvidob-isa	morning peace-gen	утро мир-gen	4.2021
31	East  Caucasian	Andic	Godoberi	Godoberi	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	saidova2006	124		Chiara Naccarato	гьиччидаа	гьичч-и=даа	get_up-pst=q	вставать-pst=q	4.2021
32	East  Caucasian	Andic	Godoberi	Godoberi	village	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	saidova2006	98		Chiara Naccarato	ворчIами	ворчIами	hello	здравствуйте	4.2021
33	East  Caucasian	Tsezic	Hinuq	Hinuq	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	xalilovisakov2005	295	when the interrogative particle is added, the past suffix is removed, so there is no formal difference between general tense and past tense in these forms (Forker 2013)	Chiara Naccarato	ихийе	ø-их=ийе	m-get_up.pst=q	m-вставать.pst=q	4.2021
34	East  Caucasian	Tsezic	Hinuq	Hinuq	language	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilovisakov2005	174		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
35	East  Caucasian	Tsezic	Hunzib	Hunzib	language	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Madzhid Khalilov, p.c.			Chiara Naccarato	арчери	ø-арч-ер=и	m-get_up-pst=q	m-вставать-pst=q	8.2024
36	East  Caucasian	Tsezic	Hunzib	Hunzib	language	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	isakovxalilov2001	53		Chiara Naccarato	ворчIами	в/орчIами	m-hello	m-здравствуйте	4.2021
37	East  Caucasian	Nakh	Ingush	Standard Ingush	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	nicholssite			Chiara Naccarato	wijra dika xalda hwa	wijra dika xal<d>a hwa	morning good be.opt<d>	утро добрый быть.opt<d>	4.2021
38	East  Caucasian	Andic	Karata	Karata	dialect_toplevel	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Rashidat Xalidova, p.c.			Chiara Naccarato	гьерчIчIоле	гьерчIчI=оле	get_up=q	вставать=q	4.2021
39	East  Caucasian	Andic	Karata	Karata	dialect_toplevel	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Rashidat Xalidova, p.c.			Chiara Naccarato	варчIами	варчIами	hello	здравствуйте	4.2021
40	East  Caucasian	Andic	Tukita	Tukita	language	no	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Michael Daniel, p.c.			Chiara Naccarato	гьащду паркъа гьерчIчIубе	гьащду паркъа гьерчIчI-у-б-е	how quickly stand_up-ptcp-hpl-pl	как быстро вставать-ptcp-hpl-pl	4.2021
59	East  Caucasian	Andic	Karata	Anchiq	dialect_toplevel	no	yes	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	Konstantin Filatov, p.c.		complex case to be checked	Chiara Naccarato	гъвачIами	гъвачIами	good_morning	доброе_утро	4.2021
41	East  Caucasian	Khinalug	Khinalug	Khinalug	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	Monika Rind-Pawlowski, p.c.		Khinalug speakers use only Azerbaijani greetings (not just in the morning), so they do not use adapted variants, it's rather a form of code-switching. They tend to not use the polite form (2pl).	Samira Verhees	Sabahın xeyir	Sabah-ın xeyir	morning-2sg.pos benefit / morning-2pl.pos benefit		4.2021
42	East  Caucasian	Tsezic	Khwarshi	Kvantlada	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	Zaira Xalilova, p.c.			Chiara Naccarato	ahi mo?	ø-ah-i mo	m-get_up-pst 2sg	m-вставать-pst 2sg	4.2021
43	East  Caucasian	Lezgic	Kryz	Alik	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	Abdurrahman Elikli, p.c.		vaz is singular, yaz for plural	Samira Verhees	bagaşkarci xayır işi vaz				8.2024
44	Turkic	Kipchak	Kumyk	Standard Kumyk	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	kumyktil			Samira Verhees	танг яхшы болсун	танг яхшы бол-сун	dawn good be-imp.3sg	рассвет добрый быть-imp.3sg	4.2021
45	East  Caucasian	Lak	Lak	Standard Lak	language	yes	yes	Morning greeting	Both	Type of morning greeting		Borrowing source	kasplingua		Expression from website, translation of individual words from the dictionary.	Samira Verhees	хъинсса кIюрх хьуннав		morning good become.opt.2	утро добрый стать.opt.2	4.2021
58	East  Caucasian	Lak	Lak	Standard Lak	language	no	no	Morning greeting	Both	Type of morning greeting		Borrowing source	khajdakov1962	124	Glosses added with the help of the dictionary and the grammar. The base verb is изан/бизан 'get up'.	Samira Verhees	ивзрав	ивз-ра-в	get_up.m-2sg.pst-q	вставать.m-2sg-pst-q	4.2021
46	East  Caucasian	Lezgic	Lezgian	Standard Lezgian	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	abdulmutalibov2005		хийир = benefit, profit, good (adj. good = qhsan)	Chiara Naccarato	пакаман хийир	пакама-н хийир	morning-atr benefit	утро-atr благо	4.2021
47	East  Caucasian	Lezgic	Lezgian	Standard Lezgian	language	no	no	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	abdulmutalibov2005			Chiara Naccarato	сабагъ хийир	сабагъ хийир	morning benefit	утро благо	4.2021
48	Turkic	Kipchak	Nogai	Standard Nogai	language	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	omniglotGM			Chiara Naccarato	эртенъ яхшы болсын	эртенъ яхшы бол-сын	morning good be-imp.3sg	утро добрый быть-imp.3sg	4.2021
49	East  Caucasian	Lezgic	Rutul	Standard Rutul	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	ismailova2011	316		Chiara Naccarato	сабах хайир	сабах хайир	morning benefit	утро благо	4.2021
50	East  Caucasian	Lezgic	Tabasaran	Standard Tabasaran	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	xanmagomedovshalbuzov2001	265	хайир = польза, выгода, прибыль; благо, добро / хайир = утро (редко)	Chiara Naccarato	сабагъ хайир	сабагъ хайир	morning benefit	утро благо	4.2021
51	Indo-European	Iranian	Juhuri	Juhuri	language	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	naftaliev2016	532	Short form: сэбэх э хейбу <https://youtu.be/z35O1HtlPSY>	Samira Verhees	Səbəħ ty ə xəjr bu	Səbəħ ty ə xəjr bu	morning you in benefit be.subj	утро ты в благо быть.subj	4.2021
52	East  Caucasian	Andic	Tindi	Tindi	village	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	magomedova2003	160		Samira Verhees	гьеццода(в)	гьецц-о=да(-в)	get_up-pst=q(-m)	вставать-pst=q(-m)	4.2021
53	East  Caucasian	Lezgic	Tsakhur	Tsakh	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting		Borrowing source	ibragimovnurmamedov2010	463	хайир also has a separate entry in the dictionary and occurs in a number of examples.	Samira Verhees	МичIейдын хайир!	МичIейд-ын хайир!	morning-atr benefit	утро-atr благо	4.2021
54	East  Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	yes	yes	Morning greeting	Did you wake up?	Type of morning greeting		Borrowing source	xalilov1999	237, 251		Chiara Naccarato	изийаь	ø-из-ий=аь	m-get_up-pst=q	m-вставать-pst=q	4.2021
55	East  Caucasian	Tsezic	Tsez	Kidero	dialect_nt1	no	no	Morning greeting	Did you wake up?	Type of morning greeting	Avar	Borrowing source	xalilov1999	145		Chiara Naccarato	ворчIами	в/орчIами	m-good_morning	m-доброе_утро	4.2021
56	East  Caucasian	Nakh	Tsova-Tush	Zemo-Alvani	village	yes	yes	Morning greeting	No special greeting	Type of morning greeting		Borrowing source	Jesse Wichers Schreur, p.c.		Only general greetings in Batsbi: local, Kakhetian, and Georgian, no special greeting for the morning. According to Jesse, 'good morning' is rarely used in Georgian as well.	Samira Verhees					4.2021
57	East  Caucasian	Lezgic	Udi	Nizh	dialect_toplevel	yes	yes	Morning greeting	Good morning	Type of morning greeting	Azerbaijani	Borrowing source	maisak2006			Chiara Naccarato	Савах хеир	Савах хеир	morning benefit	утро благо	4.2021
