id	lang	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment	idiom_new	language_new	type_new
1	Upper Andi	Andi	village	yes	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	cercvadze1965	345		Maksim Melenchenko	2022-08-19	l‘ob-c'ol-gu	ɬob-c’ol-gu	30	thirty		three-ten-NUM	cercvadze1965	345		Andi	Upper Andi	village
2	Upper Andi	Rikvani	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	suleymanov1957	304		Maksim Melenchenko	2022-08-19	бокьгъоцIолгу	<b>oqho-c'ol-gu	40	forty		<CM>four-ten-NUM	suleymanov1957	300		Rikvani	Upper Andi	village
3	Upper Andi	Gagatli	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	salimov2010	132		Maksim Melenchenko	2022-08-19	лъоб-цӀол-гу	ɬob-c’ol-gu	30	thirty		three-ten-NUM	salimov2010	132		Gagatli	Upper Andi	village
4	Upper Andi	Zilo	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	kayeetaldraft2020	14		Maksim Melenchenko	2022-08-19	ɬob-c’ol-gu	ɬob-c’ol-gu	thirty	thirty		three-ten-NUM	kayeetaldraft2020	14		Zilo	Upper Andi	village
5	Avar	Standard Avar	language	yes	yes	-q'o-go	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	forkerdraft2020	18	30' is sporadic: ɬeber=go, others derive vigesimally	Maksim Melenchenko	2022-08-19	k'i-q'o=go	k'i-q'o=go	forty	forty		two-twenty=NUM	forkerdraft2020	18				
6	Avar	Zaqatala	dialect_nt1	no	yes	-c'il / -q'o-go	borrowed	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	saidova2007	107	Tens from 50 to 90 are borrowed from Tsakhur (except for Kabakhchol dialect [112]). 10—40 are said to be similar to literary Avar, except for unsignificant phonetic differences, so the underlying native system is vigesimal.	Maksim Melenchenko	2022-08-19	хью-цIил	xu-c'il	50	fifty		five-ten	saidova2007	108	The numeral is borrowed from Tsakhur			
7	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	-(a)c'a-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	bokarev1949b	73	90' is ač'un-na (without -c'a).	Maksim Melenchenko	2022-08-19	лъалъацIада	ɬaɬa-c'a-da	30	thirty		three-ten-NUM	bokarev1949b	72	The root for 'three' is ɬaɬa, so this is not reduplication.			
8	Gigatli	Gigatli	language	no	yes	-(a)z-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	bokarev1949b	73		Maksim Melenchenko	2022-08-19	лъабазда	ɬab-az-da	30	thirty		three-ten-NUM	bokarev1949b	72	The root for 'three' is ɬab(u)	Gigatli	Gigatli	language
9	Tindi	Tindi	village	yes	yes	-(a)c'a	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedova2012	144	The situation is unclear. Consider examples: ɬab-ac’a ‘30’ [magomedova2012: 145] // ɬab-ac’a-ja ‘30’ [authierdraft2020: 15]. Here I trust [magomedova2012] more as the second source is a draft.	Maksim Melenchenko	2022-08-19	лъабацIа	ɬab-ac’a	тридцать	thirty		three-ten	magomedova2012	145	Whether -ja/-da NUM is present in '30', is unclear (sources differ).			
10	Godoberi	Godoberi	village	yes	yes	-c'a-li	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	tatevosov1996	28		Maksim Melenchenko	2022-08-19	ɬabu-c’a-li	ɬabu-c’a-li	30	thirty		three-ten-NUM.ten	tatevosov1996	29				
11	Northern Akhvakh	Northern Akhvakh	language	yes	yes	-q'endo-da-<CM>e	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedbekova1967	71		Maksim Melenchenko	2022-08-19	ḳeq̣endodabe	k’e-q’endo-da-be	40	forty		two-twenty-NUM-CM	magomedbekova1967	71		Northern Akhvakh	Northern Akhvakh	language
12	Karata-Tukita	Karata	dialect_toplevel	yes	yes	-(j)ac'a-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedbekova1971	93		Maksim Melenchenko	2022-08-19	bo'ac̣ada	boʔ-ac’a-da	40	forty		four-ten-NUM	magomedbekova1971	94		Karata	Karata-Tukita	dialect_toplevel
13	Tukita	Tukita	language	no	yes	-q'indu	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedbekova1971	95		Maksim Melenchenko	2022-08-19	кIе-къинду	k'e-q'indu	40	forty		two-twenty	gadzhieva2007	87		Tukita	Tukita	language
14	Botlikh	Botlikh	village	yes	yes	-c'a-li-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	azaev2000	355		Maksim Melenchenko	2022-08-19	бугъуцIалида	buɣu-c'a-li-da	40	forty		four-ten-NUM.ten-NUM	saidova2001	225				
15	Bagvalal	Kvanada	village	yes	yes	-c'a	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	tatevosov2001numerals	155		Maksim Melenchenko	2022-08-19	hač’ʷa:-c’a	hač’ʷa:-c’a	90	ninety		nine-ten	tatevosov2001numerals	155				
16	Tsez	Kidero	dialect_nt1	yes	yes	-oc'i-no	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	bokarev1959	202		Maksim Melenchenko	2022-08-19	хъунохъу оцIино	q͜χu-no-q͜χu oc'i-no	50	fifty		two-NUM-twenty ten-NUM	bokarev1959tsez	202				
17	Khwarshi	Kwantlada	village	yes	yes	-qu	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	khalilova2009	169		Maksim Melenchenko	2022-08-19	q’ˤʷene-qu	q’ˤʷene-qu	40	forty		two-twenty	khalilova2009	169				
18	Hinuq	Hinuq	village	yes	yes	-oc'e-no	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	forker2013	394		Maksim Melenchenko	2022-08-19	q’o-no qu=no oc’e-no	q’o-no qu=no oc’e-no	50	fifty		two-NUM twenty=AND ten-NUM	forker2013	394				
19	Hunzib	Hunzib	language	yes	yes	-rig	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	vandenberg1995	68	Root -rig is of unknown origin. '10' is ac’ə.n.	Maksim Melenchenko	2022-08-19	ɬa.na=rig	ɬa.na=rig	30	thirty		three.NUM=ten	vandenberg1995	69				
20	Bezhta	Bezhta	village	yes	yes	-jig	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	madieva1965	105	Root -jig is of unknown origin. '10' is ac'o-na.	Maksim Melenchenko	2022-08-19	илъ-на йиг	iɬ-na jig	60	sixty		six-NUM ten	madieva1965	104				
21	Northern Dargwa	Aqusha	dialect_toplevel	yes	yes	-c'ali	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	abdullaev1954	135		Maksim Melenchenko	2022-08-19	хIяб-цI-али	ħäb-c'ali	30	thirty		three-ten	abdullaev1954	135		Aqusha	Northern Dargwa	dialect_toplevel
22	Southwestern Dargwa	Tanti	dialect_toplevel	no	yes	-c'ale	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	sumbatovalander2014	93		Maksim Melenchenko	2022-08-19	aʁʷ-cʼale	aʁʷ-cʼale	40	forty		four-ten	sumbatovalander2014	94		Tanti	Southwestern Dargwa	dialect_toplevel
23	Sanzhi-Itsari	Itsari	dialect_toplevel	no	yes	-c'al	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	sumbatovamutalov2003	45		Maksim Melenchenko	2022-08-19	irč’em-c’al	irč’em-c’al	90	ninety		nine-ten	sumbatovamutalov2003	45		Itsari	Sanzhi-Itsari	dialect_toplevel
24	Sanzhi-Itsari	Sanzhi	dialect_toplevel	no	yes	-c'al	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	forker2020dargwa	129		Maksim Melenchenko	2022-08-19	urek-c’al	urek-c’al	60	sixty		six-ten	forker2020dargwa	130		Sanzhi	Sanzhi-Itsari	dialect_toplevel
25	Mehweb	Mehweb	language	no	yes	-c'ali-jal	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1982	58		Maksim Melenchenko	2022-08-19	ure-c̣-ali-j-al	ure-c'ali-jal	60	sixty		six-ten-NUM	magometov1982	58		Mehweb	Mehweb	language
26	Kajtag	Kajtag	language	no	yes	-c'ali	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	temirbulatova2004	18	Details are unclear, only a few examples are given.	Maksim Melenchenko	2022-08-19	шуцIали	šu-c'ali	50	fifty		five-ten	temirbulatova2004	18		Kajtag	Kajtag	language
27	Chirag	Chirag	language	no	yes	-c'ale	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	ganenkov2021draft	15		Maksim Melenchenko	2022-08-19	ʡa̰b-c’ale	ʡaˤb-c’ale	30	thirty		three-ten	ganenkov2021draft	15		Chirag	Chirag	language
28	Kubachi	Kubachi	language	no	yes	-c'al	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1963	134		Maksim Melenchenko	2022-08-19	x̃u-c̣-al	xu-c'al	50	fifty		five-ten	magometov1963	136		Kubachi	Kubachi	language
29	Lak	Standard Lak	language	yes	yes	-c'al-<CM>a	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	zhirkov1955	53		Maksim Melenchenko	2022-08-19	ххюцIалва	x:ɵ-c'al-w.a	50	fifty		five-ten-III.NUM	zhirkov1955	53	III class			
30	Archi	Archib	village	yes	yes	-ij-<CM>u	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	kibrik1977	119	-ij- component is of an unknown source. It is present in different tens (лъиб-ий-<тI>у ‘30’ with лъиб-<тI>у '3', букь:-ий-<тI>у ‘40’, etc). '10' itself has a root wic'- (вицI-и<тI>у '10').	Maksim Melenchenko	2022-08-19	дилъийтIу	diɬ-ij-<t'>u	60	sixty		six-ten-<CM>NUM	mikailov1967	75				
31	Lezgian	Standard Lezgian	language	yes	yes	-qa-d	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	haspelmath1993	230	The derivation of tens is mostly vigesimal. '40' is jaxc'ur, '50' is jaxc'ur-ni c'ud (this word «is not synchronically transparent [but cf. Šaumjan 1938]»).	Maksim Melenchenko	2022-08-19	pudq̃ad	pu-d-qa-d	60	sixty		three-CM-twenty-CM	haspelmath1993	231				
32	Tabasaran	Standard Tabasaran	language	yes	yes	-c'ur	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	alekseevshixalieva2003	52	/r/ is said to be a petrified class marker but according to [magometov1965: 160], it was not petrified and maintained inflection. /c'/ components denoting 'ten' have undergone phonetic changes in some tens (сум-чIур ‘30’). The word for '40' is jä:ɣčʷur, [magometov1965: 160] notices that it does not inflect in class.	Maksim Melenchenko	2022-08-19	йирхьцIур	jirx-c'ur	60	sixty		six-ten	alekseevshixalieva2003	53				
33	Tabasaran	Khiv	village	no	yes	-q:a-CM	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1965	162	According to [magometov1965: 160], the class marker was not petrified and maintained inflection. In this particular village Khiv of Southern Tabasaran dialect, the vigesimal system is present. The only exception is '40', which has its own word instead of 2 x 20. The word is the same as in Standard Tabasaran: jä:ɣčʷur '40'. In adjacent villages, there are some mixed systems (some tens remain vigesimal, some are decimal).	Maksim Melenchenko	2022-08-19	šubbu-b q:a-b	šubbu-b q:a-b	60	sixty		three-NH twenty-NH	magometov1965	162	NH = non-human			
34	Agul	Fite	dialect_toplevel	yes	yes	-c'ur / -jic'	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1970	94	In Fite dialect, decimal system is more frequently used. Tens 30–50 and 80 end with -c'ur (xim-c'ur '30') and unit roots seem to have undergone phonetic changes (cf. xibu-d '3'). Numerals 60, 70, and 90 end with -jic' (jerk'y jic' '90'), and unit roots are unchanged (jerk'y-d '9').	Maksim Melenchenko	2022-08-19	jüfc̣ur	jyf-c'ur	50	fifty		five-ten	magometov1970	95				
35	Agul	Fite	dialect_toplevel	yes	no	-q:a-d	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1970	94	In Fite dialect, vigesimal system is still preserved but not frequently used. All tens 30—90 except 40 have alternative vigesimal derivations. '40' is always jaɣc'ur but '50' can be derived vigesimally.	Maksim Melenchenko	2022-08-19	q̣‘ůq:anna jic̣ud	q'ˤu-q:a-n-na jic'u-d	50	fifty		two-twenty-CM-LNK ten-CM	magometov1970	95	It is questioned whether -n in q:a-n '20' is a separate morpheme from the root.			
36	Agul	Usug	village	no	yes	-q:a-d	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1970	94	In Usug village dialect, vigesimal system is used. All tens 30—90 except 40 have alternative vigesimal derivations. '40' is always jaɣc'ur. It is different from Fite vigesimal system in that '50' is derived from '40' jaɣc'ur rather than from non-existent vigesimal '40' *q'ˤu-q:a-d.	Maksim Melenchenko	2022-08-19	jaɣc̣unni ic̣ud	jaɣ-c'un-ni ic'u-d	50	fifty		four-ten-LNK ten-CM	magometov1970	95				
37	Qushan Agul	Burshag	village	no	yes	-c'ur	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magometov1970	94	In Burshag dialect, decimal system is used. Unlike in Fite, all tens 30–90 end with -c'ur (jarš-c'ur '60', cf. Fite jerxi-jic') and unit roots seem to have undergone phonetic changes (cf. jerši-r '6'). Unlike in other dialects, the petrified ending is -r instead of -d (in all numerals).	Maksim Melenchenko	2022-08-19	jišʷc̣ur	jišʷ-c'ur	50	fifty		five-ten	magometov1970	95		Burshag	Qushan Agul	village
38	Tsakhur	Mishlesh	village	yes	yes	-c'alʲ	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	kibrik1999	155	Morpheme -c’alʲ is used for derivation of tens 30—90. Ibragimov thought that «-c’alʲ is erdoded jic'-, having lost the initial syllable and attached -lʲ, which is a petrified class marker». In my opinion, this is likely connected to -cal in Lak & Dargwa languages (however, [ibragimov1990: 3] writes that Tsakhur contacts with Laks and Archis are weak).	Maksim Melenchenko	2022-08-19	xo-c’alʲ	xo-c’alʲ	50	fifty		five-ten	kibrik1999	155				
39	Rutul	Kina	village	yes	yes	-c'ɨr / -c'ur	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	mukhin2020	9	Kina Rutul tens use either -c'ɨr (30, 60, 70, 80) or -c'ur (jow-c'ur '40', xu-c'ur '50'). '90' is jud͡ʒur (probably originally -c'ur but changed phonetically due to consonant cluster [č'c']?). /r/ is said to be a petrified class marker.	Maksim Melenchenko	2022-08-19	mɨj-c’ɨr	mɨj-c’ɨr	80	eighty		eight-ten	mukhin2020	9				
40	Budukh	Budukh	village	yes	yes	-qa-CM	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	talibov2007	145		Maksim Melenchenko	2022-08-19	йухъаб	ju-qa-b	80	eighty		four-twenty-CM	talibov2007	148				
41	Kryz	Alik	dialect_toplevel	yes	yes	-qaˤa-CM / Azeri	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	authier2009	104	30, 50, 60, 70 are derived vigesimally. 40 is rather weird: q:ʷa-q:ʷaʕa-r (cf. q'ʷa-r '2', qaˤ-r '20'), with q:ʷa-q:ʷaʕa-r-na jic'-ir as '50'. '80' can be derived as juq'-qa-d but Azeri-borrowed saksan is also used. It it is said that 60—90 are being replaced with Azeri cardinals. No native numeral for '90' is given, only Azeri duqsan.	Maksim Melenchenko	2022-08-19	şibqaˤa-r	šib-qaˤa-r	60	sixty		three-twenty-CM	authier2009	106				
42	Udi	Nizh	dialect_toplevel	yes	yes	Azeri	borrowed	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	mobili2010	328	According to chunks of information from dictionaries [mobili2010] and [gukasyan1974], in Nizh Udi Azeri numerals are used for tens. In tens with units, Azeri tens are used along with native units (q’irx-bip’ '44' [mobili2010: 239]).	Maksim Melenchenko	2022-08-19	atmɪš	atmɨš	60	sixty		sixty	mobili2010	37	Azeri borrowing			
43	Udi	Vartashen	dialect_toplevel	no	yes	-q’o	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	mobili2010	328	According to chunks of information from dictionaries [mobili2010] and [gukasyan1974], in Vartashen Udi vigesimal system is preserved. [mobili2010: 328] claims this is true for Oghuz dialect, [gukasyan1974] attributes this to Vartashen dialect. It is unclear to me whether the same idiom is meant in these cases.	Maksim Melenchenko	2022-08-19	xib-q’o	xib-q’o	60	sixty		three-twenty	mobili2010	37				
44	Khinalug	Khinalug	village	yes	yes	-q'æn	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	desheriev1959	131		Maksim Melenchenko	2022-08-19	ункIу-къаьн-наь-Iаз	unk'u-q'æn-næ-ʔaz	90	ninety		four-twenty-LNK-ten	desheriev1959	131	transcription needs revision			
45	Chechen	Standard Chechen	language	yes	yes	(-wz)-t'q'a	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	nichols1994	51	-(w)z- is used when the number of twenties is more than one, for multiplication.	Maksim Melenchenko	2022-08-19	šowzt’q’a	šo-wz-t’q’a	40	twenty		two-times-twenty	nichols1994	51				
46	Ingush	Standard Ingush	language	yes	yes	(-wz)-t'q'a	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	nichols2011	197	-(w)z- is used when the number of twenties is more than one, for multiplication.	Maksim Melenchenko	2022-08-19	shouztq'a	šo-wz-t’q’a	40	twenty		two-times-twenty	nichols2011	212				
47	Tsova-Tush	Zemo-Alvani	village	yes	yes	(-uz)-t'q'a	no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	holiskygagua1994	188	-uz(a)- is used when the number of twenties is more than one, for multiplication.	Maksim Melenchenko	2022-08-19	Dʕe(v)uzat'q'ait':	<CM>ʔev-uza-t'q'a-it':	90	ninety		<CM>four-times-twenty-ten	holiskygagua1994	188	'times' gloss is 'multiplied X times'			
48	Kumyk	Standard Kumyk	language	yes	yes		no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	abdullaevaetal2014	237		Maksim Melenchenko	2022-08-19	алтмыш	alt-mɨš	60	sixty		six-times.ten	abdullaevaetal2014	230				
49	Azerbaijani	Standard Azerbaijani	language	yes	yes		no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	shiralievsevortyan1971	71		Maksim Melenchenko	2022-08-19	алтмыш	alt-mɨš	60	sixty		six-times.ten	shiralievsevortyan1971	72				
50	Nogai	Standard Nogai	language	yes	yes		no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	baskakov1996	332		Maksim Melenchenko	2022-08-19	алпыс	al-pɯs	60	sixty		six-times.ten	baskakov1996	332				
51	Juhuri	Juhuri	language	yes	yes		no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	authier2012	81	An old article by Chernij (1869/1905) has indications of a vigesimal system which is probably an influence of [East] Caucasian languages. However, no examples are given. The current system is decimal, roots are Iranian.	Maksim Melenchenko	2022-08-19	ħaş-dod	ħaš-dod	80	eighty		eight-times.ten	authier2012	81	transcription needs revision	Juhuri	Juhuri	language
52	Eastern Armenian	Eastern Armenian	language	yes	yes		no numeral marker	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	dum-tragut2009	118		Maksim Melenchenko	2022-08-19	ere-sun	ɛrɛ-sun	30	thirty		three-times.ten	dum-tragut2009	118		Eastern Armenian	Eastern Armenian	language
53	Georgian	Standard Georgian	language	yes	yes	(-m)-oc-i	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	hewitt1995	51	-m- is used when the number of twenties is more than one, for multiplication.	Maksim Melenchenko	2022-08-19	oc-da-at-i	oc-da-at-i	30	thirty		twenty-LNK-ten-NOM	hewitt1995	51				
